%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
NEUTRAL	 (  (  ( The woman  )  ( wearing  (  (  (  (  ( silver pants  ) ,  )  ( pink bellbottoms  )  ) and  )  ( a  ( pink scarf  )  )  )  )  )  ( is  ( riding  ( a bike  )  )  )  ) 	 (  ( A  ( pedestrian woman  )  )  ( is  ( building  (  ( pink bicycles  )  ( for  ( boa  ( wearing riders  )  )  )  )  )  )  ) 	2.4	526
NEUTRAL	 ( A_woman  ( is  ( rocking  ( over  ( a_blanket  (  ( lying  ( on someone  )  ) reading_a_book  )  )  )  )  )  ) 	 (  ( A_woman  ( on  ( a rock  )  )  )  ( is  (  (  ( lying  ( on a_blanket  )  ) and  ) reading_a_book  )  )  ) 	2.7	2726
NEUTRAL	 (  ( The cop  )  ( is  ( sitting  ( on  ( a  ( police bike  )  )  )  )  )  ) 	 (  ( The animal  )  ( is  ( grazing  ( on  ( the grass  )  )  )  )  ) 	1	9963
NEUTRAL	 (  ( A  ( practicing jumper  )  )  ( is  (  ( tossing  (  ( a  ( person 's  )  ) snowboard  )  )  ( into  ( the air  )  )  )  )  ) 	 (  ( Two people  )  ( are  ( riding  ( a bike  )  )  )  ) 	2	9822
ENTAILMENT	 ( A_dog  ( is  ( jumping on_a_trampoline  )  )  ) 	 ( A_dog  ( is  ( bouncing on_a_trampoline  )  )  ) 	4.7	4135
ENTAILMENT	 (  ( A  ( large flute  )  )  ( is  ( being  ( played  ( by  ( a man  )  )  )  )  )  ) 	 (  ( A man  )  ( is  ( playing  ( a flute  )  )  )  ) 	4.3	5349
ENTAILMENT	 ( A_man  ( is  ( playing  ( an  ( electric guitar  )  )  )  )  ) 	 ( A_man  ( is  ( playing guitar  )  )  ) 	4.9	1493
NEUTRAL	 (  ( The kids  )  (  ( are not  )  ( wearing  (  (  ( suits and  ) water  )  ( is  ( splashing around  )  )  )  )  )  ) 	 (  ( Children  ( in  ( swimming suits  )  )  )  ( are  ( playing  ( in  ( the water  )  )  )  )  ) 	2.8	7997
NEUTRAL	 (  (  ( The picture  )  ( of  (  ( a camera  )  ( set up  )  )  )  )  ( is  ( being  ( taken  ( by  (  ( a man  )  ( on  (  ( the beach  )  ( at  ( the sunset  )  )  )  )  )  )  )  )  )  ) 	 (  ( A man  )  ( is  ( taking  ( pictures  ( of  ( a lake  )  )  )  )  )  ) 	3	2157
NEUTRAL	 (  ( A  ( white dog  )  )  ( is  (  ( approaching  ( a  ( golden dog  )  )  )  ( on  ( pebbly beach  )  )  )  )  ) 	 (  ( Two dogs  )  ( are  ( playing  ( on  ( a  ( rocky beach  )  )  )  )  )  ) 	2.9	9036
CONTRADICTION	 (  ( A snake  ) is_being_fed_a_mouse_by_a_man  ) 	 (  ( No snake  ) is_being_fed_a_mouse_by_a_man  ) 	4.7	1608
ENTAILMENT	 ( A_woman  ( is  ( slicing a_potato  )  )  ) 	 ( A_woman  ( is  ( cutting a_potato  )  )  ) 	4.8	4661
ENTAILMENT	 (  ( A panda_bear  )  ( is  ( eating  ( some bamboo  )  )  )  ) 	 (  ( Some bamboo  )  ( is  ( being  ( eaten  ( by  ( a panda_bear  )  )  )  )  )  ) 	4.8	3384
CONTRADICTION	 ( There  ( is  (  ( no man  ) spraying_a_super_soaker_into_the_mouth_of_a_dog  )  )  ) 	 (  ( A man  )  ( is spraying_a_super_soaker_into_the_mouth_of_a_dog  )  ) 	3.8	7718
NEUTRAL	 ( A_man  ( is  ( reloading a_shotgun  )  )  ) 	 ( A_man  ( is  ( firing a_shotgun  )  )  ) 	3.7	5706
NEUTRAL	 ( A_big_green_ball  ( is  ( missing a_potato  )  )  ) 	 ( A_big_green_ball  ( is  ( knocking a_potato  )  )  ) 	3.3	2965
NEUTRAL	 (  ( The turtle  )  ( is  ( following  ( the fish  )  )  )  ) 	 (  ( A fish  )  ( is  ( hunting  ( for  (  ( a turtle  )  ( in  ( the sea  )  )  )  )  )  )  ) 	3.5	1137
NEUTRAL	 (  ( A_man  ( with  ( no hat  )  )  ) is_sitting_on_the_ground  ) 	 (  ( A_man  ( with  ( a  ( backwards hat  )  )  )  ) is_sitting_on_the_ground  ) 	4	8461
ENTAILMENT	 ( A_tennis_player  ( is  ( jumping to_the_left  )  )  ) 	 ( A_tennis_player  ( is  ( lunging to_the_left  )  )  ) 	4.4	7795
ENTAILMENT	 (  ( A_young_girl  ( in  ( a  ( blue leotard  )  )  )  ) is_jumping_in_the_air  ) 	 (  ( A_young_girl  ( in  (  ( a leotard  )  ( colored  ( in blue  )  )  )  )  ) is_jumping_in_the_air  ) 	5	7546
CONTRADICTION	 ( There  ( is  (  ( no  ( hockey player  )  )  ( in  ( a_yellow_jersey  ( guarding the_goal  )  )  )  )  )  ) 	 (  ( The  ( ice  ( hockey goalkeeper  )  )  )  (  (  ( is  ( wearing a_yellow_jersey  )  ) and  )  ( is  ( defending the_goal  )  )  )  ) 	4	6544
NEUTRAL	 (  ( A  ( yellow dog  )  )  ( is  ( chasing  ( a ball  )  )  )  ) 	 (  ( A dog  )  ( is  (  (  ( turning  ( on  ( the grass  )  )  ) and  )  ( pursuing  ( a  ( flying  ( tennis ball  )  )  )  )  )  )  ) 	4.4	9188
NEUTRAL	 (  ( A man  ) is_wearing_a_blue_shirt_and_walking_barefoot_on_a_tennis_court  ) 	 (  ( A woman  ) is_wearing_a_blue_shirt_and_walking_barefoot_on_a_tennis_court  ) 	3.6	9623
ENTAILMENT	 ( A_man  (  ( is hurriedly  )  ( getting  ( into  ( a_car  ( in  ( a garage  )  )  )  )  )  )  ) 	 ( A_man  ( is  ( getting  ( into a_car  )  )  )  ) 	4.1	2678
ENTAILMENT	 (  ( The cat  )  ( is  ( playing  ( passionately with_a_watermelon  )  )  )  ) 	 (  ( A cat  )  ( is  ( playing with_a_watermelon  )  )  ) 	4.5	2286
NEUTRAL	 ( A_man  ( is  ( standing  ( on  ( a_boat  ( in  ( front  ( of  ( the_sunset near_a_flag  )  )  )  )  )  )  )  )  ) 	 ( A_man  ( is  ( sitting  ( on  ( a_boat  ( in  (  (  ( font  ( of the_sunset  )  ) ,  ) near_a_flag  )  )  )  )  )  )  ) 	3.8	6213
NEUTRAL	 (  (  ( The man  )  ( in blue  )  )  ( is  (  ( posing  ( for  ( a picture  )  )  )  ( next  ( to  ( a vehicle  )  )  )  )  )  ) 	 (  ( A man  )  ( is  ( standing  ( at  (  ( the wheel  )  ( of  (  ( a  ( classic  ( American car  )  )  )  ( that  ( has  ( its  ( door  ( and  ( trunk open  )  )  )  )  )  )  )  )  )  )  )  )  ) 	3.2	9242
ENTAILMENT	 (  ( The lady  ) is_penciling_on_eyeshadow  ) 	 (  ( The woman  ) is_penciling_on_eyeshadow  ) 	5	2829
NEUTRAL	 ( A_biker  ( is  ( wearing  ( gear  ( which  ( is black  )  )  )  )  )  ) 	 (  ( A_biker  ( wearing black  )  )  ( is  ( breaking  ( the gears  )  )  )  ) 	3.1	530
ENTAILMENT	 ( A_band  ( is  ( playing  ( on  ( a stage  )  )  )  )  ) 	 ( A_band  ( is  ( playing onstage  )  )  ) 	5	1266
ENTAILMENT	 (  (  (  ( A  ( big brown_dog  )  ) and  ) a_small_grey_dog  ) are_standing_on_a_rocky_surface  ) 	 (  (  (  ( A  ( large brown_dog  )  ) and  ) a_small_grey_dog  ) are_standing_on_a_rocky_surface  ) 	4.8	6756
ENTAILMENT	 ( A_girl  ( is  ( skipping_rope  ( on  ( a sidewalk  )  )  )  )  ) 	 ( A_girl  ( is  ( skipping_rope  ( on  ( near  ( a street  )  )  )  )  )  ) 	4.3	8786
ENTAILMENT	 (  (  (  ( A horse  ) and  )  ( its rider  )  )  ( are  ( leaping  ( over  ( a barrier  )  )  )  )  ) 	 (  ( A hurdle  )  ( is  ( being  ( leapt  ( by  (  ( a horse  )  ( that  ( has  (  ( a rider  )  ( on  ( its back  )  )  )  )  )  )  )  )  )  )  ) 	4.5	6634
ENTAILMENT	 ( The_girl_,_who_is_little_,  (  ( is carefully  ) combing_her_hair_into_a_pony_tail  )  ) 	 ( The_girl_,_who_is_little_,  (  ( is combing_her_hair_into_a_pony_tail  ) .  )  ) 	4.6	1839
ENTAILMENT	 ( A_man_and_a_woman  ( are  ( in  (  ( a room  )  (  (  (  ( painted  ( beige  ( , wearing_dark_colored_shirts  )  )  ) and  ) a_monitor  ) is_in_the_background  )  )  )  )  ) 	 ( A_man_and_a_woman  ( are  ( in  (  (  (  (  ( a  ( beige room  )  ) ,  ) wearing_dark_colored_shirts  ) and  )  ( a_monitor is_in_the_background  )  )  )  )  ) 	5	6047
NEUTRAL	 (  ( A boy  )  ( is  ( standing  ( outside  ( the water  )  )  )  )  ) 	 (  ( The boy  )  ( is  ( wading  ( through  ( the  ( blue ocean  )  )  )  )  )  ) 	3.135	280
NEUTRAL	 (  ( The guitar  )  ( is  ( being  ( played  ( by  ( the man  )  )  )  )  )  ) 	 (  ( A boat  )  ( is  (  ( sailing peacefully  )  ( over  ( the water  )  )  )  )  ) 	1.1	1676
ENTAILMENT	 (  ( The person  )  ( is  ( slicing onions  )  )  ) 	 ( Onions  ( are  ( being  ( sliced  ( by  ( the person  )  )  )  )  )  ) 	4.9	3721
CONTRADICTION	 ( The_man  (  ( is not  ) doing_exercises  )  ) 	 ( The_man  ( is doing_exercises  )  ) 	3.8	5924
NEUTRAL	 (  ( A  ( small child  )  )  ( is  (  ( showing excitement  )  ( on  (  ( a swing  )  ( set  ( at  ( the park  )  )  )  )  )  )  )  ) 	 (  (  (  (  (  (  ( The girl  ) ,  )  ( who  ( is little  )  )  ) ,  )  ( is swinging  )  ) and  )  (  ( the woman  )  ( is  ( standing behind  )  )  )  ) 	3.6	7448
ENTAILMENT	 ( Men  ( are  ( sawing logs  )  )  ) 	 ( Men  ( are  ( cutting wood  )  )  ) 	4.5	1412
NEUTRAL	 ( Five_children  ( are  ( standing  ( in a_wooden_hut  )  )  )  ) 	 ( Five_children  ( are  ( standing  ( in  ( front  ( of a_wooden_hut  )  )  )  )  )  ) 	4.2	119
NEUTRAL	 (  ( A woman  )  ( is  ( cooking  ( a  ( breaded  ( pork chop  )  )  )  )  )  ) 	 (  ( The woman  )  ( is  ( chopping  (  (  ( some bread  ) and  )  ( fried pork  )  )  )  )  ) 	3.2	3322
NEUTRAL	 (  ( The girl  )  (  (  ( is  ( sitting  ( on  ( the couch  )  )  )  ) and  )  ( is crocheting  )  )  ) 	 ( There  ( is  (  ( no girl  )  ( playing  (  ( the violin  )  ( on  ( a beach  )  )  )  )  )  )  ) 	1.4	4755
CONTRADICTION	 ( The_adults_and_children  (  ( are not  ) gathered_near_an_outdoor_seating_arrangement  )  ) 	 ( The_adults_and_children  ( are  ( being gathered_near_an_outdoor_seating_arrangement  )  )  ) 	4.4	8193
NEUTRAL	 (  ( A  (  (  ( black and  ) orange  ) bird  )  )  ( is  ( standing  ( in  ( the grass  )  )  )  )  ) 	 (  (  ( The  ( black bird  )  )  ( with  ( a  ( yellow beak  )  )  )  )  ( is  ( standing  ( in  ( the  ( green grass  )  )  )  )  )  ) 	4	8700
ENTAILMENT	 ( A_woman  ( is  ( riding  ( a  ( water scooter  )  )  )  )  ) 	 ( A_woman  ( is  ( riding  (  ( a scooter  )  ( for water  )  )  )  )  ) 	4.1	3373
NEUTRAL	 (  ( The man  )  ( is  ( going  ( into  ( the water  )  )  )  )  ) 	 (  ( The person  )  ( is  ( going  ( into  ( the sea  )  )  )  )  ) 	4.1	8500
CONTRADICTION	 ( There  ( is  (  ( no woman  ) combing_her_hair  )  )  ) 	 (  ( A woman  )  ( is combing_her_hair  )  ) 	3.6	1178
NEUTRAL	 (  ( An  ( animated airplane  )  )  ( is  ( taking off  )  )  ) 	 (  ( A plane  )  ( is landing  )  ) 	2.7	2812
CONTRADICTION	 ( There  ( is  (  ( no man  ) cooking_a_snake  )  )  ) 	 (  ( A man  )  ( is cooking_a_snake  )  ) 	3.7	4767
NEUTRAL	 (  ( A woman  )  (  (  ( is  (  ( wearing  ( a  ( blue shirt  )  )  )  ( with  (  (  ( a  ( white vest  )  ) and  )  ( a  ( white cap  )  )  )  )  )  ) and  )  ( is  (  ( talking and  ) marching  )  )  )  ) 	 (  (  ( The woman  )  ( wearing  (  ( the  (  (  ( blue and  ) white  ) uniform  )  )  ( with  ( a  ( white  ( and  ( blue hat  )  )  )  )  )  )  )  )  (  (  ( is  (  ( keeping  ( her mouth  )  ) open  )  ) and  )  ( is  (  ( near others  )  ( who  ( are  ( dressed  ( in  ( the  ( same fashion  )  )  )  )  )  )  )  )  )  ) 	3.4	6912
ENTAILMENT	 ( A_white_and_tan_dog  ( is  ( running  ( through  ( the  (  (  ( tall and  ) green  ) grass  )  )  )  )  )  ) 	 ( A_white_and_tan_dog  ( is  ( running  ( through  ( a field  )  )  )  )  ) 	4.35	384
NEUTRAL	 ( People  ( are  (  (  ( riding and  ) paddling  ) a_raft  )  )  ) 	 (  ( A  ( few people  )  )  ( are  ( floating  ( on a_raft  )  )  )  ) 	3.8	2525
ENTAILMENT	 ( The_group_of_people  ( is  ( sitting  ( in  ( a  ( dim room  )  )  )  )  )  ) 	 ( The_group_of_people  ( is  ( sitting  ( in  (  ( a room  )  ( which  ( is dim  )  )  )  )  )  )  ) 	4.9	7466
ENTAILMENT	 (  ( A girl  )  ( is  ( eating  ( a cupcake  )  )  )  ) 	 (  ( A cupcake  )  ( is  ( being  ( eaten  ( by  ( a girl  )  )  )  )  )  ) 	5	5588
NEUTRAL	 (  ( The kid  )  (  ( is happily  )  ( sliding  ( in  ( the snow  )  )  )  )  ) 	 (  (  ( A boy  )  ( on  (  ( a hill  )  ( covered  ( in snow  )  )  )  )  )  (  (  ( is  ( wearing  (  (  ( a  ( red jacket  )  ) and  )  ( a  ( black hat  )  )  )  )  ) and  )  ( is  ( sliding  ( on  ( his knees  )  )  )  )  )  ) 	4	765
ENTAILMENT	 ( A_woman  ( is  (  ( putting two_eggs  ) into_a_pot_of_water  )  )  ) 	 ( A_woman  ( is  (  ( placing two_eggs  ) into_a_pot_of_water  )  )  ) 	4.9	3250
CONTRADICTION	 (  ( A woman  )  ( is putting_on_makeup  )  ) 	 ( There  ( is  (  ( no woman  ) putting_on_makeup  )  )  ) 	4	2911
NEUTRAL	 (  (  (  (  ( A  ( small group  )  )  ( of people  )  )  ( are standing  )  ) and  )  ( two  ( are  ( sitting  ( on  ( the sofa  )  )  )  )  )  ) 	 (  (  ( A group  )  ( of  ( five  ( young adults  )  )  )  )  ( are  ( lounging indoors  )  )  ) 	3.8	8963
NEUTRAL	 (  ( Two_men  ( with cars  )  )  ( are  ( on  (  ( the side  )  ( of a_snowy_road  )  )  )  )  ) 	 ( Two_men  ( are  (  ( taking  ( a break  )  )  ( from  (  ( a trip  )  ( on a_snowy_road  )  )  )  )  )  ) 	4	417
ENTAILMENT	 (  (  ( A man  ) in_a_motocross_uniform  ) is_wearing_a_helmet_and_rides_a_red_motorcycle  ) 	 (  (  ( A person  ) in_a_motocross_uniform  ) is_wearing_a_helmet_and_rides_a_red_motorcycle  ) 	4.8	8343
CONTRADICTION	 ( Three_boys_in_karate_costumes  ( are fighting  )  ) 	 ( Three_boys_in_karate_costumes  (  ( are n't  ) fighting  )  ) 	3.3	1503
NEUTRAL	 (  (  (  ( A  ( little girl  )  ) and  )  (  ( a woman  )  ( wearing  ( a  ( yellow shirt  )  )  )  )  )  ( are  (  ( getting splashed  )  ( by  ( a  ( city fountain  )  )  )  )  )  ) 	 (  (  ( A  ( young girl  )  )  ( is  ( playing  ( on  (  ( the edge  )  ( of  (  (  ( a fountain  ) and  )  ( an  ( older woman  )  )  )  )  )  )  )  )  )  ( is  ( watching her  )  )  ) 	3.5	9677
NEUTRAL	 ( A_small_boy  ( is  ( scolding a_dog  )  )  ) 	 ( A_small_boy  ( is  ( playing  ( with a_dog  )  )  )  ) 	3.4	2130
NEUTRAL	 (  ( The woman  )  (  ( is n't  )  ( stirring  ( eggs  ( in  ( a bowl  )  )  )  )  )  ) 	 ( Someone  ( is  ( beating  ( an egg  )  )  )  ) 	3.2	3398
NEUTRAL	 (  ( A  ( tan dog  )  )  ( is  ( running  ( through  ( the brush  )  )  )  )  ) 	 ( There  ( is  (  ( no  ( white dog  )  )  ( with  (  ( beige spots  )  ( running  ( through  ( a field  )  )  )  )  )  )  )  ) 	2.7	6625
CONTRADICTION	 (  ( A man  )  ( is playing_a_guitar  )  ) 	 ( There  ( is  (  ( no man  ) playing_a_guitar  )  )  ) 	3.6	4520
ENTAILMENT	 (  ( A horse  )  ( is  ( being  ( ridden  ( by  ( a person  )  )  )  )  )  ) 	 (  ( A person  )  ( is  ( riding  ( a horse  )  )  )  ) 	5	5914
NEUTRAL	 (  ( A veteran  )  ( is  (  ( showing  ( different things  )  )  ( from  (  ( a war  )  ( to  ( some people  )  )  )  )  )  )  ) 	 (  ( A  ( large man  )  )  ( is  ( sitting  ( in  ( a  ( military  ( accessories store  )  )  )  )  )  )  ) 	2.8	9093
NEUTRAL	 (  ( The dog  )  ( is  ( having  (  ( a nap  )  ( in  ( the park  )  )  )  )  )  ) 	 (  (  (  ( A  ( big brown  )  ) and  )  ( white  ( spotted dog  )  )  )  ( is  ( lying  ( on  (  ( a jacket  )  ( on  ( the street  )  )  )  )  )  )  ) 	2.9	9500
NEUTRAL	 (  ( A woman  )  ( is  ( playing  ( the violin  )  )  )  ) 	 ( There  ( is  (  ( no man  )  ( playing  ( the piano  )  )  )  )  ) 	2.1	5082
NEUTRAL	 (  (  ( The kittens  ) on_the_trays  )  ( are  ( being  ( eaten  ( as  ( food  ( for  ( an advertisement  )  )  )  )  )  )  )  ) 	 (  (  ( The food  ) on_the_trays  )  ( is  ( being  ( eaten  ( by  ( the kittens  )  )  )  )  )  ) 	3.5	1877
ENTAILMENT	 ( A_group_of_people  ( is  ( equipped  ( with  ( gear  ( used  ( for protection  )  )  )  )  )  )  ) 	 ( A_group_of_people  ( is  ( equipped  ( with  ( protective gear  )  )  )  )  ) 	5	816
ENTAILMENT	 (  ( A man  )  ( is  (  (  ( wearing  ( a straw_hat  )  ) and  )  ( smoking  ( a cigarette  )  )  )  )  ) 	 (  ( A cigarette  )  ( is  ( being  ( smoked  ( by  (  ( the man  )  ( in  ( the straw_hat  )  )  )  )  )  )  )  ) 	4.8	7311
NEUTRAL	 (  (  ( No group  )  ( of people  )  )  ( is  ( gathering  ( at  (  ( a stand  )  ( at  ( the fair  )  )  )  )  )  )  ) 	 (  ( The people  )  ( are  ( standing  ( at  ( a carnival  )  )  )  )  ) 	3.8	8658
ENTAILMENT	 (  ( A  ( big cat  )  )  (  (  ( is  (  ( opening  ( a  ( plastic drawer  )  )  )  ( with  ( its paws  )  )  )  ) and  )  ( is jumping_inside  )  )  ) 	 (  ( A cat  )  ( is  (  (  ( opening  ( a drawer  )  ) and  ) jumping_inside  )  )  ) 	4.4	5003
CONTRADICTION	 ( Some_people_and_vehicles  ( are  ( on  ( a  ( crowded street  )  )  )  )  ) 	 ( Some_people_and_vehicles  ( are  ( on  ( a  (  ( almost empty  ) street  )  )  )  )  ) 	4.2	8263
NEUTRAL	 (  ( Two children  )  ( are  ( playing  ( on a_statue  )  )  )  ) 	 (  ( Small children  )  ( are  ( climbing  ( a_statue  ( in  ( a park  )  )  )  )  )  ) 	4.1	7356
ENTAILMENT	 ( Someone  ( is  ( strumming the_guitar  )  )  ) 	 ( Someone  ( is  ( playing the_guitar  )  )  ) 	4.5	2557
NEUTRAL	 (  ( A cook  )  ( is  ( coating  (  ( a pork  ) chop  )  )  )  ) 	 (  ( A woman  )  ( is  ( grating carrots  )  )  ) 	2.1	3292
NEUTRAL	 (  ( A dog  )  ( is  ( swimming  ( after  ( a  ( tennis ball  )  )  )  )  )  ) 	 (  ( A  ( young man  )  )  ( is  (  ( pushing  ( a  ( motocross bike  )  )  )  ( down  ( a  ( dirt hill  )  )  )  )  )  ) 	1	9988
ENTAILMENT	 (  ( A man  )  ( is  ( climbing a_rope  )  )  ) 	 (  ( The man  )  ( is  (  ( climbing up  ) a_rope  )  )  ) 	4.8	4006
ENTAILMENT	 ( A_group_of_rollerbladers  ( is  ( lining_up  ( on  ( the road  )  )  )  )  ) 	 ( A_group_of_rollerbladers  ( is  ( lining_up  ( on  ( the street  )  )  )  )  ) 	4.9	8660
CONTRADICTION	 (  ( A karate_practitioner  )  ( is kicking_at_another_man_who_is_wearing_protective_boxing_gloves  )  ) 	 ( There  ( is  (  ( no karate_practitioner  ) kicking_at_another_man_who_is_wearing_protective_boxing_gloves  )  )  ) 	4.3	2712
NEUTRAL	 (  ( Rugby players  )  (  ( are not  )  ( tackling  ( each other  )  )  )  ) 	 (  ( A  ( soccer player  )  )  ( is  ( being  ( tackled  ( by  ( his opponent  )  )  )  )  )  ) 	2.5	7002
ENTAILMENT	 (  ( A skateboarder  ) is_jumping_in_the_air  ) 	 (  ( The skateboarder  ) is_jumping_in_the_air  ) 	4.9	9303
NEUTRAL	 (  ( A  ( golden dog  )  )  ( is  ( running  ( through  (  ( a field  )  ( of  ( tall grass  )  )  )  )  )  )  ) 	 ( There  ( is  (  ( no  ( brown dog  )  )  ( running  ( through  ( tall  ( green grass  )  )  )  )  )  )  ) 	4	6866
CONTRADICTION	 (  ( An adult  )  (  (  ( is  ( in the_amphitheater  )  ) and  )  ( is talking_to_a_boy  )  )  ) 	 ( There  ( is  (  ( no adult  )  ( in  ( the_amphitheater talking_to_a_boy  )  )  )  )  ) 	4.3	987
CONTRADICTION	 ( There  ( are  (  ( no racers  ) running_down_a_track  )  )  ) 	 ( Racers  ( are running_down_a_track  )  ) 	3.7	3680
CONTRADICTION	 ( A_black_and_white_dog_with_a_large_branch  ( is  ( running in_the_field  )  )  ) 	 ( A_black_and_white_dog_with_a_large_branch  ( is  ( standing in_the_field  )  )  ) 	4.2	9706
NEUTRAL	 (  (  ( A  ( little boy  )  )  ( in a_pink_shirt  )  )  ( is  ( running  ( under  (  ( a tree  )  ( in  ( the desert  )  )  )  )  )  )  ) 	 (  ( A girl  )  (  (  ( is  ( wearing  (  ( jeans and  ) a_pink_shirt  )  )  ) and  )  ( is running  )  )  ) 	2.8	6330
CONTRADICTION	 (  (  ( A cluster  )  ( of  ( four  ( brown dogs  )  )  )  )  ( are  ( playing  ( in  (  ( a field  )  ( of  ( brown grass  )  )  )  )  )  )  ) 	 (  ( Four dogs  )  (  ( are not  )  ( playing  ( in  ( a  ( grassy area  )  )  )  )  )  ) 	4	9490
ENTAILMENT	 ( A_man  (  ( is recklessly  ) climbing_a_rope  )  ) 	 ( A_man  ( is climbing_a_rope  )  ) 	4.3	4001
CONTRADICTION	 (  ( A man  )  ( is driving_a_car  )  ) 	 ( There  ( is  (  ( no man  ) driving_a_car  )  )  ) 	4.4	4614
ENTAILMENT	 (  ( A_man  ( in  ( a  ( black jersey  )  )  )  ) is_standing_in_a_gym  ) 	 (  ( A_man  ( in  (  ( a jersey  )  ( which  ( is black  )  )  )  )  ) is_standing_in_a_gym  ) 	4.9	9132
ENTAILMENT	 ( A_tennis_player  ( is  ( jumping to_the_left  )  )  ) 	 ( A_tennis_player  ( is  ( lunging to_the_left  )  )  ) 	4.4	7795
NEUTRAL	 ( Three_boys  ( are  ( walking on_rocks_along_a_river  )  )  ) 	 ( Three_boys  ( are  ( resting on_rocks_along_a_river  )  )  ) 	3.8	6764
NEUTRAL	 ( Ferrets  ( are  (  ( climbing down  )  ( from  ( a shelf  )  )  )  )  ) 	 (  ( A  ( few ferrets  )  )  ( are  (  ( climbing out  )  ( of  ( the cage  )  )  )  )  ) 	3.1	2668
NEUTRAL	 (  ( A man  )  ( is screaming  )  ) 	 (  ( A  ( sad man  )  )  ( is crying  )  ) 	2.9	1400
NEUTRAL	 (  ( A woman  )  ( is  ( playing  ( an  ( electric guitar  )  )  )  )  ) 	 (  ( A man  )  ( is  (  ( laying down  )  ( a guitar  )  )  )  ) 	2.3	3002
NEUTRAL	 (  ( The people  )  (  ( are not  )  ( sitting  ( on  ( a_bench  ( in  ( front  ( of  ( a restaurant  )  )  )  )  )  )  )  )  ) 	 (  ( Three people  )  ( are  ( sitting  ( on  ( a_bench  ( under  ( some  ( palm trees  )  )  )  )  )  )  )  ) 	3.2	6740
CONTRADICTION	 ( A_band  (  ( is not  ) playing_some_instruments  )  ) 	 ( A_band  ( is playing_some_instruments  )  ) 	3.8	4852
NEUTRAL	 (  ( People  ( at  ( a  ( drag race  )  )  )  )  ( are  (  ( running away  )  ( from  (  ( the flames  )  ( that  ( are  (  ( coming out  )  ( of  ( the cars  )  )  )  )  )  )  )  )  )  ) 	 (  ( The crowd  )  ( is  ( watching  (  ( two  ( racing cars  )  )  ( that  ( are  ( leaving  ( the  ( starting line  )  )  )  )  )  )  )  )  ) 	2.6	6228
NEUTRAL	 (  (  ( A boy  )  ( in  ( a  ( white t-shirt  )  )  )  )  ( is  ( splashing  ( in  ( shallow water  )  )  )  )  ) 	 (  ( A girl  )  ( is  ( running  ( through  (  ( the water  )  ( at  ( the beach  )  )  )  )  )  )  ) 	2.3	7950
NEUTRAL	 ( A_woman_dressed_in_elegant_clothing  ( is_inside_a_crowd_of_people_and  ( is  ( looking down  )  )  )  ) 	 ( A_woman_dressed_in_elegant_clothing  ( is_inside_a_crowd_of_people_and  ( is  ( looking up  )  )  )  ) 	3.1	7937
CONTRADICTION	 (  ( The_man at_the_beach  )  (  ( is not  )  ( doing_a_handstand  ( on  ( the_wet_sand  ( at  ( the_edge  ( of the_water  )  )  )  )  )  )  )  ) 	 ( The_man  ( is  ( doing_a_handstand  ( on  ( the_wet_sand  ( at  ( the_edge  ( of  ( the_water at_the_beach  )  )  )  )  )  )  )  )  ) 	3.7	7667
NEUTRAL	 (  ( A  ( bald person  )  ) is_playing_a_guitar  ) 	 (  ( A person  )  (  (  ( has  ( blonde  ( and  ( flyaway hair  )  )  )  ) and  ) is_playing_a_guitar  )  ) 	3.9	285
ENTAILMENT	 (  ( The man  )  ( is  (  (  ( singing and  ) playing  )  ( the guitar  )  )  )  ) 	 (  ( The guitar  )  ( is  ( being  ( played  ( by  ( a man  )  )  )  )  )  ) 	4.3	3909
NEUTRAL	 (  ( A_football_player  ( in  ( a  ( purple jersey  )  )  )  )  ( is  ( running  ( with  (  ( the ball  )  ( for  ( a touchdown  )  )  )  )  )  )  ) 	 ( A_football_player  ( is  (  ( carrying  ( an official  )  )  ( past  ( a  ( rolling football  )  )  )  )  )  ) 	2.9	7544
ENTAILMENT	 (  ( The woman  ) is_holding_the_paintbrush_next_to_the_artist_'s_easel  ) 	 (  ( The lady  ) is_holding_the_paintbrush_next_to_the_artist_'s_easel  ) 	4.9	9584
CONTRADICTION	 (  (  ( A man  )  ( dressed  ( in black  )  )  )  ( is wearing_an_elaborate_black_mask  )  ) 	 ( There  ( is  (  ( no man  )  ( dressed  ( in  ( black wearing_an_elaborate_black_mask  )  )  )  )  )  ) 	3.4	6784
ENTAILMENT	 (  ( A man  ) is_doing_a_trick_on_a_skateboard  ) 	 (  ( A person  ) is_doing_a_trick_on_a_skateboard  ) 	4.4	8334
ENTAILMENT	 (  ( The woman  ) is_cleaning_a_shrimp  ) 	 (  ( A woman  ) is_cleaning_a_shrimp  ) 	4.9	3364
ENTAILMENT	 (  ( A dog  ) is_swimming_in_a_body_of_water  ) 	 (  ( An animal  ) is_swimming_in_a_body_of_water  ) 	4.5	8806
ENTAILMENT	 ( A_man  ( is  ( playing  ( an  ( electric guitar  )  )  )  )  ) 	 ( A_man  ( is  ( playing guitar  )  )  ) 	4.9	1493
